aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,0,0.1016,0.00050312839448452
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,5,0.1815,0.0014920065877959132
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,11,0.1469,0.0022338624112308025
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,16,0.168,0.0026581415440887213
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,22,0.1643,0.0030817538499832153
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,27,0.1031,0.0033859489485621452
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,33,0.1446,0.0037095060106366873
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,38,0.1722,0.003949680831283331
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,44,0.1052,0.0042085363529622555
N/A,OneshotFedAvg,CIFAR10_alpha0.5,5.0,1,0.05,resnet18,50,0.1215,0.00443121837452054
