aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,0,0.2444,0.00040317338425666094
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,1,0.2934,0.0004973933682776988
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,2,0.3204,0.0005701399641111493
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,3,0.3334,0.0006295934435911477
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,4,0.3313,0.000685078848619014
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,5,0.3454,0.0007400086033158004
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,6,0.369,0.0007894776063039899
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,7,0.3668,0.0008398575009778142
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,8,0.3939,0.0008814539760351181
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,9,0.4043,0.0009262739331461489
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,10,0.3823,0.0009656929178163409
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,11,0.4295,0.001007337705232203
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,12,0.4287,0.0010468806140124798
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,13,0.4321,0.001083642360754311
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,14,0.4461,0.0011211378732696176
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,15,0.4567,0.0011574779637157917
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,16,0.4521,0.0011941551929339767
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,17,0.4687,0.0012310883030295372
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,18,0.4452,0.0012642084620893002
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,19,0.4624,0.0012983952183276415
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,20,0.4863,0.0013312563532963395
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,21,0.4779,0.0013637067750096321
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,22,0.4865,0.001396942650899291
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,23,0.5064,0.0014263668563216925
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,24,0.5014,0.0014571690699085593
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,25,0.4998,0.0014880088856443763
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,26,0.509,0.0015190416015684605
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,27,0.5144,0.0015497342683374882
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,28,0.5088,0.0015764461131766438
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,29,0.5186,0.0016058911569416523
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,30,0.5336,0.0016336815897375345
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,31,0.5219,0.0016613107873126864
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,32,0.5347,0.0016900246264413
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,33,0.5298,0.0017144425073638558
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,34,0.5584,0.0017417272320017219
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,35,0.5477,0.0017690059030428529
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,36,0.5519,0.0017939101671800017
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,37,0.5792,0.0018181903287768364
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,38,0.5597,0.0018439304549247026
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,39,0.5538,0.0018685056129470468
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,40,0.5723,0.0018940727459266782
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,41,0.5568,0.0019163404358550906
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,42,0.564,0.0019404641352593899
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,43,0.5797,0.0019647052977234125
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,44,0.5928,0.0019868009258061647
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,45,0.5764,0.0020082336850464344
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,46,0.5909,0.0020304189529269934
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,47,0.5776,0.002053314819931984
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,48,0.5983,0.0020755063742399216
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,20.0,1,0.05,resnet18,49,0.5968,0.002097636228427291
