aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,0,0.0347,0.001429228694178164
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,1,0.0425,0.0019584144465625286
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,2,0.0538,0.002386680105701089
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,3,0.0211,0.0027657814789563417
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,4,0.0222,0.003110392950475216
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,5,0.0194,0.0034296840894967318
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,6,0.0312,0.0037259235978126526
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,7,0.0417,0.004004485439509153
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,8,0.0205,0.0042680189944803715
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,9,0.0426,0.004516942892223597
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,10,0.029,0.0047607142478227615
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,11,0.0192,0.004993662238121033
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,12,0.026,0.005217616446316242
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,13,0.0179,0.005433373153209686
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,14,0.0236,0.005641430150717497
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,15,0.0222,0.00584441190585494
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,16,0.0209,0.006043365225195885
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,17,0.0175,0.006237359251827002
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,18,0.0176,0.00642465241253376
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,19,0.0181,0.006607783026993275
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,20,0.0183,0.0067886835895478725
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,21,0.0178,0.0069655245169997215
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,22,0.0209,0.007139037363231182
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,23,0.0176,0.007309242617338896
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,24,0.0187,0.007474809419363737
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,25,0.0148,0.0076386285945773125
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,26,0.0124,0.007800333667546511
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,27,0.0155,0.007958787493407726
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,28,0.0157,0.008115091361105442
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,29,0.0136,0.008268948644399643
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,30,0.0154,0.008421075530350208
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,1.0,1,0.05,resnet18,31,0.0162,0.008571919053792953
