aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,inter_client_proto_std,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,0,0.989624,0.2327,0.010698,0.00040056268335320055
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,1,0.965068,0.2956,0.022677,0.0004992861649952829
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,2,0.938684,0.3137,0.035014,0.0005699303583241999
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,3,0.911769,0.3292,0.045695,0.0006327486480586231
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,4,0.88516,0.3439,0.055239,0.000689580338075757
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,5,0.858159,0.3543,0.064696,0.0007475910824723542
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,6,0.833398,0.3682,0.074192,0.0007977277273312211
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,7,0.808065,0.3809,0.082972,0.0008497551316395402
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,8,0.785558,0.3962,0.090019,0.0008931892807595432
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,50.0,1,0.05,resnet18,9,0.763249,0.41,0.096619,0.0009403605945408344
