aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,0,0.1001,0.0003372860956005752
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,5,0.116,0.0009333361522294581
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,11,0.1,0.0013969521969556808
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,16,0.1242,0.001655970118008554
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,22,0.1066,0.0019102238584309816
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,27,0.1002,0.0020844722166657448
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,33,0.1,0.002267436357215047
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,38,0.1,0.00239273882471025
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,44,0.1,0.002518978901207447
N/A,OneshotFedAvg,CIFAR10_alpha0.05,5.0,1,0.05,resnet18,50,0.1,0.0026212409138679504
