aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,g_protos_std,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,0,0.9982724785804749,0.2068,0.0006222356460057199
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,5,0.9453137516975403,0.3705,0.0014760916819795966
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,11,0.8833963871002197,0.6085,0.002174503169953823
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,16,0.8335654139518738,0.6602,0.0026422282680869102
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,22,0.7763635516166687,0.6978,0.0031288161408156157
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,27,0.7315254807472229,0.7431,0.0034892777912318707
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,33,0.6808518171310425,0.7916,0.003886593272909522
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,38,0.6412860155105591,0.7782,0.0041948724538087845
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,44,0.5972105860710144,0.7869,0.00454377569258213
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.3,5.0,1,0.05,resnet18,50,0.5566181540489197,0.7952,0.004866603761911392
