aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,0,0.2431,0.00040208923746831715
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,1,0.2918,0.0004930944414809346
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,2,0.3268,0.0005622648168355227
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,3,0.3222,0.0006213391898199916
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,4,0.3384,0.0006761352415196598
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,5,0.3561,0.0007310766959562898
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,6,0.3762,0.0007781130261719227
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,7,0.3688,0.0008264766074717045
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,8,0.3902,0.0008658647420816123
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,9,0.4159,0.0009096816065721214
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,10,0.386,0.0009493667166680098
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,11,0.4312,0.0009901727316901088
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,12,0.4255,0.0010288256453350186
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,CIFAR10_alpha0.05,10.0,1,0.05,resnet18,13,0.4255,0.0010643283603712916
