aggregation_method,algorithm,exp_name,lambda_align_initial,server.local_epochs,server.lr,server.model_name,round,global_test_accuracy,model_variance_mean
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,0,0.0317,0.0014399518258869648
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,1,0.0249,0.001959975576028228
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,2,0.0575,0.0023833501618355513
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,3,0.015,0.002761334180831909
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,4,0.0204,0.0031010375823825598
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,5,0.0172,0.0034196453634649515
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,6,0.0338,0.003716845531016588
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,7,0.0342,0.003995507024228573
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,8,0.0201,0.004260385408997536
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,9,0.0364,0.004508296027779579
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,10,0.0219,0.00475156819447875
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,11,0.0231,0.004981856793165207
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,12,0.0264,0.005206048954278231
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,13,0.0248,0.005423082038760185
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,14,0.0297,0.005630005616694689
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,15,0.0232,0.005833813920617104
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,16,0.0207,0.006031583063304424
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,17,0.0178,0.006225952412933111
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,18,0.0163,0.006413848605006933
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,19,0.0206,0.006596795748919249
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,20,0.0203,0.006777108181267977
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,21,0.0223,0.006953630596399307
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,22,0.0271,0.007126872893422842
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,23,0.022,0.007297205738723278
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,24,0.0208,0.007462579756975174
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,25,0.0161,0.007627060171216726
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,26,0.0158,0.007788973394781351
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,27,0.0141,0.0079472241923213
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,28,0.0174,0.008103030733764172
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,29,0.0151,0.008256662636995316
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,30,0.0173,0.008408710360527039
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,31,0.0166,0.008559362962841988
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,32,0.0222,0.008708503097295761
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,33,0.0154,0.00885581411421299
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,34,0.014,0.009000914171338081
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,35,0.0121,0.009143194183707237
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,36,0.0139,0.009285712614655495
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,37,0.0111,0.009424601681530476
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,38,0.0162,0.009562980383634567
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,39,0.0136,0.009700880385935307
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,40,0.0167,0.009836966171860695
N/A,OneshotOursV7 with DRCL (ETF Anchors) and Lambda Annealing,Tiny_alpha0.05,5.0,1,0.05,resnet18,41,0.0154,0.009971252642571926
